#,Player,Pos,Team,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL
81,Chris Godwin,WR,TB,11.9,10.1,10.8,8.2,19.4,-,13.7,12.6,17.8,3.6,9.4,9.9,7.5,7.9,10.3,25.5,,,,166.7
82,Zack Moss,RB,IND,12.8,-,20.7,22.5,9,33.5,17.9,7.2,14.4,2.6,0.2,-,9,7.7,9.6,12.3,,,,166.6
83,Tank Dell,WR,HOU,15,6.4,20.2,25.5,3.9,8.3,-,-,6.1,29.6,18.9,28.9,17.2,0,-,-,,,,165
84,Zay Flowers,WR,BAL,11.8,17.7,10.8,13,8,12.3,17.1,11.5,6.9,2.1,12.3,8,23.2,-,20,1.7,,,,164.6
85,Gus Edwards,RB,BAL,11.4,5.2,12.2,5.1,6.9,4.8,6.3,21.4,29.4,17.2,9.8,21,4.7,-,1.5,13.9,,,,159.4
86,Cole Kmet,TE,CHI,11.4,9.4,7.8,4.2,27.6,15.2,2.9,0,17.9,23.5,9.6,5,11.3,-,11.6,13.3,,,,159.3
87,Jaylen Warren,RB,PIT,11.3,6.8,12.6,8.2,11.5,10.9,-,10.1,7.8,14.3,19,23.5,7.2,6.5,8,11.8,,,,158.2
88,Austin Ekeler,RB,LAC,14.4,26.4,-,-,-,-,10.2,5.6,23.3,21,21.5,7,9.4,4.7,21,7.8,,,,157.9
89,-,DST,DAL,11.1,37,15,1,27,-1,4,-,15,2,8,21,16,-1,11,0,,,,155
90,Kirk Cousins,QB,MIN,19.3,17.5,28.6,26.7,11.6,19.9,8.7,22,19.9,-,-,-,-,-,-,-,,,,154.7
91,Joe Burrow,QB,CIN,15.3,3.2,16.4,9.2,4.7,24.4,14.8,-,27.6,22.3,21.9,8.7,-,-,-,-,,,,153.2
92,George Pickens,WR,PIT,10.9,8.6,22.7,11.5,5.5,26.6,-,15.7,9.2,1.9,7.5,7.7,8.8,12.6,6.9,7.7,,,,152.9
93,Brandon Aubrey,K,DAL,10.8,10,18,11,12,6,8,-,13,7,7,9,9,15,22,4,,,,151
94,Romeo Doubs,WR,GB,10.8,18.6,5,18.3,18.5,1.4,-,11,11.8,6.6,12.1,16.3,6.7,11.2,7.2,6,,,,150.7
95,Christian Kirksey,WR,JAC,12.5,1.9,22,15.4,16.4,14.4,13.9,19,8.6,-,14.4,7.8,12.9,3.6,-,-,,,,150.3
96,De'Von Achane,RB,MIA,18.7,-,1.9,51.3,27,21.5,-,-,-,-,-,1.5,-,25.3,12.1,9.2,,,,149.8
97,Drake London,WR,ATL,11.5,0,18.7,5.1,11.8,14.7,21.5,11.4,10.5,-,6.6,-,14.1,1.8,29.2,4.4,,,,149.8
98,Trey McBride,TE,ARI,10.7,4.3,5.2,1.2,1.5,3.7,10.2,5.9,25.5,5.2,21.1,9.3,13,22.9,-,20.2,,,,149.2
99,Jake Ferguson,TE,DAL,10.6,3.1,10.1,9.8,14.7,5.8,2.5,-,14.7,22.1,12.6,6.2,4.5,19.7,12.2,10.4,,,,148.4
100,Chuba Hubbard,RB,CAR,10.6,8.9,10,2.4,7.3,4.5,16,-,7.4,10.7,5.9,8.5,20.2,22.4,11.6,12.3,,,,148.1
101,Dustin Hopkins,K,CLE,10.5,12,9,12,5,-,17,22,8,10,14,7,6,8,9,8,,,,147
102,Rhamondre Stevenson,RB,NE,12.1,14.9,15,7.2,6,2.4,18,14.5,7,22.9,13.2,-,21.7,2.9,-,-,,,,145.7
103,Curtis Samuel,WR,WAS,11,11,6.2,7.4,18.2,18.5,14.2,6.5,6.2,-,2.6,1.5,19,10.5,-,21.1,,,,142.9
104,-,DST,BAL,10.1,11,3,7,17,6,11,14,6,15,14,6,15,-,7,9,,,,141
105,Cooper Kupp,WR,LA,14.1,-,-,-,-,19.8,27.8,6.9,6.1,6.8,-,2.1,4.8,15.9,25.5,25.1,,,,140.8
106,Javonte Williams,RB,DEN,10.7,9.7,7.8,8.5,3.9,-,7.2,12.6,18.8,-,21,7.3,10.1,10,18.1,4,,,,139
107,-,DST,MIA,9.8,2,9,8,-2,11,5,12,6,5,-,12,21,12,12,24,,,,137
108,Bryce Young,QB,CAR,10.5,9.5,13.5,-,7.2,20.3,12.7,-,14.5,12,9.2,6.2,8.1,8.1,7.5,7.6,,,,136.4
109,Mark Andrews,TE,BAL,13.5,-,15.5,7.5,25,12.5,10.9,22.3,14,17,6.4,4.3,-,-,-,-,,,,135.4
110,Marquise Brown,WR,ARI,9.6,8.7,17.4,17.1,16.6,16.1,7.4,7.9,15.3,6.4,3.8,3.2,14.8,0,-,0,,,,134.7
