RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
162,Ryan Torain (FA),164,742,4.5,54,0,4,18,27,125,6.9,2,1,10,0.0,0.0,0.0%,RB,191,19.1
163,Lance Ball (FA),41,158,3.9,19,0,0,3,6,16,5.3,0,0,10,0.0,0.0,0.0%,RB,47,4.7
164,Isaac Redman (FA),52,247,4.8,23,0,0,9,10,72,8.0,2,0,16,0.0,0.0,0.0%,RB,62,3.875
165,Chris Ivory (FA),137,716,5.2,55,0,5,1,1,17,17.0,0,2,12,0.0,0.0,0.0%,RB,138,11.5
166,Spencer Larsen (FA),3,18,6.0,14,0,0,5,5,51,10.2,1,0,11,0.0,0.0,0.0%,RB,8,0.7272727272727273
167,Cedric Peerman (FA),2,1,0.5,1,0,0,1,3,11,11.0,0,0,7,0.0,0.0,0.0%,RB,5,0.7142857142857143
168,Keiland Williams (FA),65,261,4.0,32,0,3,39,58,309,7.9,2,1,15,0.0,0.0,0.0%,RB,123,8.2
169,LeGarrette Blount (FA),201,1007,5.0,53,0,6,5,7,14,2.8,0,3,13,0.0,0.0,0.1%,RB,208,16.0
170,Joe McKnight (FA),39,189,4.8,18,0,0,3,4,20,6.7,0,0,9,0.0,0.0,0.0%,RB,43,4.777777777777778
171,James Starks (FA),29,101,3.5,16,0,0,2,4,15,7.5,0,0,3,0.0,0.0,0.0%,RB,33,11.0
172,Deji Karim (FA),35,160,4.6,15,0,0,3,7,10,3.3,0,0,11,0.0,0.0,0.0%,RB,42,3.8181818181818183
173,Anthony Dixon (FA),70,237,3.4,34,0,2,5,5,11,2.2,0,0,16,0.0,0.0,0.0%,RB,75,4.6875
174,Toby Gerhart (FA),81,322,4.0,21,0,1,21,29,167,8.0,0,3,15,0.0,0.0,0.0%,RB,110,7.333333333333333
175,Andre Brown (FA),2,-1,-0.5,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%,RB,2,0.5
176,Garrett Mills (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
177,Mark Ingram II (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,68.0%,RB,0,
178,Darrel Young (FA),4,19,4.8,16,0,0,1,1,3,3.0,1,0,16,0.0,0.0,0.0%,RB,5,0.3125
179,Josh Vaughan (FA),3,7,2.3,6,0,1,0,0,0,0.0,0,0,3,0.0,0.0,0.0%,RB,3,1.0
180,John Conner (FA),8,44,5.5,16,0,1,2,4,9,4.5,0,0,16,0.0,0.0,0.0%,RB,12,0.75
181,Javarris James (FA),46,112,2.4,11,0,6,9,11,63,7.0,0,1,10,0.0,0.0,0.0%,RB,57,5.7
182,Andre Anderson (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
183,Antone Smith (FA),1,-3,-3.0,0,0,0,0,1,0,0.0,0,0,9,0.0,0.0,0.0%,RB,2,0.2222222222222222
184,Chris Gronkowski (FA),5,17,3.4,8,0,0,7,14,35,5.0,1,0,14,0.0,0.0,0.0%,RB,19,1.3571428571428572
185,Joique Bell (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,8,0.0,0.0,0.2%,RB,0,0.0
186,Jamize Olawale (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
187,Erik Lorig (FA),0,0,0.0,0,0,0,1,2,10,10.0,0,0,9,0.0,0.0,0.0%,RB,2,0.2222222222222222
188,Cordarrelle Patterson (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,95.1%,RB,0,
189,Brandon Bolden (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,32.6%,RB,0,
190,Lamar Miller (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
191,Alfred Morris (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
192,Dexter McCluster (FA),18,71,3.9,20,0,0,21,39,209,10.0,1,1,11,0.0,0.0,0.0%,RB,57,5.181818181818182
193,Jacob Hester (FA),26,60,2.3,6,0,0,22,26,145,6.6,1,0,15,0.0,0.0,0.0%,RB,52,3.466666666666667
194,Jackie Battle (FA),20,50,2.5,7,0,1,1,3,9,9.0,0,0,16,0.0,0.0,0.0%,RB,23,1.4375
195,Heath Evans (FA),2,2,1.0,2,0,0,7,11,41,5.9,1,0,16,0.0,0.0,0.0%,RB,13,0.8125
196,Greg Jones (FA),2,4,2.0,3,0,0,11,11,47,4.3,0,0,16,0.0,0.0,0.0%,RB,13,0.8125
197,Fred Jackson (FA),222,927,4.2,39,0,5,31,54,215,6.9,2,2,16,0.0,0.0,0.0%,RB,276,17.25
198,Jamaal Charles (FA),230,1467,6.4,80,0,5,45,64,468,10.4,3,2,16,0.0,0.0,0.1%,RB,294,18.375
199,Felix Jones (FA),185,800,4.3,34,0,1,48,52,450,9.4,1,1,16,0.0,0.0,0.0%,RB,237,14.8125
200,Donald Brown (FA),129,497,3.9,49,0,2,20,28,205,10.3,0,0,13,0.0,0.0,0.0%,RB,157,12.076923076923077
201,Jalen Parmele (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,16,0.0,0.0,0.0%,RB,0,0.0
202,DeAngelo Williams (FA),87,361,4.1,39,0,1,11,13,61,5.5,0,1,6,0.0,0.0,0.1%,RB,100,16.666666666666668
203,Jonathan Stewart (FA),178,770,4.3,48,0,2,8,14,103,12.9,1,4,14,0.0,0.0,0.0%,RB,192,13.714285714285714
204,Kenny Irons (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
205,Justin Forsett (FA),118,523,4.4,32,0,2,33,51,252,7.6,0,0,16,0.0,0.0,0.0%,RB,169,10.5625
206,John Kuhn (FA),84,281,3.3,18,0,4,15,18,97,6.5,2,0,16,0.0,0.0,0.0%,RB,102,6.375
207,Jerome Harrison (FA),71,330,4.6,50,0,1,12,13,85,7.1,0,1,12,0.0,0.0,0.0%,RB,84,7.0
208,Jerome Felton (FA),22,76,3.5,9,0,0,8,15,54,6.8,0,1,16,0.0,0.0,0.0%,RB,37,2.3125
