Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
C.Wilson,PIT,0.0,1.0,0.0,4.35,0.0,0,0.0,0.0,0.0
D.Shelton,BUF,0.0,1.0,0.0,4.35,0.0,0,0.0,0.0,0.0
N.Luchey,CIN,0.0,1.0,0.0,4.55,0.0,0,0.0,0.0,0.0
D.Sanders,BAL,0.0,1.0,0.0,3.12,0.0,0,0.0,0.0,0.0
B.Johnson,ARI,0.0,1.0,0.0,3.7,0.0,0,0.0,0.0,0.0
D.Flutie,NE,-0.03333333333333333,1.6666666666666667,-0.3333333333333333,4.2299999999999995,-0.6033333333333334,0,-1.0,0.0,-0.1
J.Blake,CHI,-0.1,1.0,-1.0,2.7,-0.53,0,-1.0,0.0,-0.1
P.Rivers,LAC,-0.1,1.0,-1.0,2.94,-0.71,0,-1.0,0.0,-0.1
S.Hill,MIN,-0.2,2.0,-2.0,11.11,-1.34,0,-2.0,0.0,-0.2
T.Collins,KC,-0.2,2.0,-2.0,4.76,-0.88,0,-2.0,0.0,-0.2
T.Banks,HOU,-0.2,2.0,-2.0,8.0,-2.27,0,-2.0,0.0,-0.2
R.Parrish,BUF,-0.2,2.0,-2.0,5.13,-1.36,0,-2.0,0.0,-0.2
C.Bradford,HOU,-0.2,1.0,-2.0,4.0,-2.27,0,-2.0,0.0,-0.2
T.Romo,DAL,-0.2,2.0,-2.0,4.35,-1.2,0,-2.0,0.0,-0.2
T.Hasselbeck,NYG,-0.30000000000000004,2.0,-3.0,8.0,-2.48,0,-3.0,0.0,-0.30000000000000004
E.Drummond,DET,-0.30000000000000004,1.0,-3.0,5.56,-10.34,0,-3.0,0.0,-0.30000000000000004
J.Reed,BUF,-0.30000000000000004,1.0,-3.0,6.25,-4.0,0,-3.0,0.0,-0.30000000000000004
J.Wilkins,LA,-0.4,1.0,-4.0,4.76,-5.33,0,-4.0,0.0,-0.4
W.Henderson,GB,-0.5,1.0,-5.0,4.0,-6.67,0,-5.0,0.0,-0.5
S.Wallace,SEA,-0.125,1.5,-1.25,3.8675,-0.56,0,-5.0,0.0,-0.5
N.Burleson,MIN,-0.30000000000000004,1.0,-3.0,5.01,-17.884999999999998,0,-6.0,0.0,-0.6000000000000001
