PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
L.Bell,TB,,,,,,,,,,,,,,,,-0.63,8.06,16.47,,,,,7.966666666666666
R.Armstead,JAX,,,,,,,,,,,,,,,,,35.0,51.49,,,,,43.245000000000005
G.Dortch,ARI,,,,,,,,,,,,,,,,,18.9,,,,,,18.9
T.Boyle,DET,,,,,,,,,,,,,,,,,14.74,-1.01,,,,,6.865
S.Mannion,MIN,,,,,,,,,,,,,,,,,51.85,,,,,,51.85
T.Lockett,SEA,,,,,,,,,,,,,,,,,2.64,0.99,,,,,1.815
D.Metcalf,SEA,,,,,,,,,,,,,,,,,2.26,,,,,,2.26
C.Conley,HOU,,,,,,,,,,,,,,,,,3.49,,,,,,3.49
D.Milne,WAS,,,,,,,,,,,,,,,,,1.06,,,,,,1.06
D.Watt,PIT,,,,,,,,,,,,,,,,,0.53,,,,,,0.53
J.Bailey,NE,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
S.Miller,TB,,,,,,,,,,,,,,,,,,50.59,8.49,,,,29.540000000000003
I.Smith,DAL,,,,,,,,,,,,,,,,,,2.34,,,,,2.34
J.Huntley,PHI,,,,,,,,,,,,,,,,,,34.23,,,,,34.23
C.Akers,LA,,,,,,,,,,,,,,,,,,4.69,39.29,65.75,68.57,48.84,45.428
S.Morgan,CIN,,,,,,,,,,,,,,,,,,3.8,,,,,3.8
M.Sargent,JAX,,,,,,,,,,,,,,,,,,1.98,,,,,1.98
M.Palardy,MIA,,,,,,,,,,,,,,,,,,0.51,,,,,0.51
M.Andrews,BAL,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
A.Lee,ARI,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
K.Barner,TB,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
Ty.Johnson,NYJ,,,,,,,,,,,,,,,,,,-2.08,,,,,-2.08
A.Bachman,NYG,,,,,,,,,,,,,,,,,,-3.19,,,,,-3.19
