PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
M.Burton,KC,4.35,,,3.12,4.35,,,,,,,,4.17,3.33,5.0,2.86,4.35,,4.55,,4.17,,4.025
J.Garoppolo,SF,10.71,28.95,4.76,,,,8.33,19.23,9.09,4.55,4.76,7.69,8.0,4.35,9.38,4.76,,3.23,2.63,,5.0,,8.46375
T.Lance,SF,10.71,,4.76,26.67,57.14,,,,,,7.14,,,,,,21.62,,,,,,21.34
M.Sargent,TEN,4.55,,2.63,,,,,,,,,,,,,,,,,,,,3.59
R.Stevenson,NE,3.33,,,,36.67,18.52,,20.51,25.64,58.82,40.0,37.5,51.06,,52.63,,51.35,14.81,40.0,,,,34.68
T.Hill,NO,5.13,11.76,15.79,15.38,,,,,3.85,14.29,,,42.31,25.0,35.48,,42.86,10.87,,,,,20.247272727272726
R.Cobb,GB,6.67,,,,,,,,,,,,,,,,,,,,,,6.67
J.Gillan,CLE,3.7,,,,,,,,,,,,,,,,,,,,,,3.7
J.Herbert,LAC,13.79,20.0,18.18,8.82,16.67,16.67,,10.0,18.52,10.53,34.62,23.53,4.55,10.81,12.82,18.18,11.43,9.52,,,,,15.214117647058826
J.Chase,CIN,2.78,,,,,,,6.25,8.33,,5.26,,,3.85,,,,,12.0,5.56,3.7,5.0,5.858888888888889
M.Goodwin,CHI,3.85,,,2.56,,,,,,,,,,,,,,,,,,,3.205
T.Lawrence,JAX,6.25,12.5,20.69,26.67,22.58,10.53,,15.79,11.11,20.83,18.75,17.86,16.0,12.5,20.0,18.75,11.76,32.26,,,,,17.34294117647059
I.McKenzie,BUF,4.0,,3.03,,,4.35,,,,8.33,,,,,3.7,3.57,2.27,3.03,10.34,12.5,,,5.5120000000000005
M.Stafford,LA,21.74,6.9,8.33,26.09,3.45,5.88,10.53,,9.52,10.0,,5.0,3.7,,10.34,9.09,5.0,,15.79,13.33,17.24,13.04,10.831666666666667
Z.Moss,BUF,,26.67,39.39,35.0,39.29,34.78,,33.33,21.43,29.17,21.43,,32.0,,,10.71,11.36,15.15,3.45,,,,25.225714285714282
J.Smith-Schuster,PIT,,7.14,,,5.71,,,,,,,,,,,,,,,,,,6.425
J.Hekker,LA,,3.45,,,,,,,,,,,,,,,,,,,,,3.45
A.Janovich,CLE,,5.88,,,,,,,,,,,,,,,,,,,,,5.88
K.Cousins,MIN,,7.41,2.94,8.7,3.57,5.41,,12.5,4.17,12.12,6.67,,6.9,5.56,6.06,18.18,,4.55,,,,,7.481428571428571
P.Barber,LV,,52.0,65.71,5.56,,,,,,,5.56,,,8.33,20.0,12.5,22.22,,,,,,23.985
D.Freeman,BAL,,4.88,13.64,3.33,3.85,23.68,16.67,,28.89,43.48,47.06,37.21,56.0,56.52,23.08,37.5,43.75,13.89,,,,,28.339375
A.Collins,SEA,,5.56,11.11,35.71,60.0,74.07,57.14,40.0,,62.5,52.63,58.33,,24.14,,,,,,,,,43.74454545454545
M.Mack,IND,,19.23,,30.3,19.23,19.23,9.09,,,,,,,,,,,,,,,,19.416000000000004
K.Bourne,NE,,4.17,,,3.33,,,,,8.82,3.33,,2.13,,10.53,,5.41,3.7,5.0,,,,5.157777777777778
C.Lamb,DAL,,3.23,2.44,,2.56,3.23,,,,2.63,,,4.17,5.56,,3.57,,,4.76,,,,3.572222222222222
C.Hubbard,CAR,,24.24,33.33,54.17,80.0,69.57,70.59,51.06,13.04,24.32,,11.11,,38.46,26.67,40.0,65.38,34.62,,,,,42.43733333333333
J.Guyton,LAC,,5.0,4.55,5.88,,,,,,,3.85,,4.55,,,,2.86,,,,,,4.448333333333333
T.Sermon,SF,,2.63,47.62,63.33,3.57,,,,,,23.81,,,,,,,,,,,,28.191999999999997
D.Samuel,SF,,5.26,9.52,3.33,3.57,,,,,11.36,19.05,15.38,,34.78,18.75,23.81,18.92,25.81,26.32,34.48,35.0,,19.02266666666667
Aa.Rodgers,GB,,12.9,,9.09,,22.58,13.33,5.88,,,,,,,,,,,,,,,12.756
C.Board,NYG,,3.57,,,,,,,,,,,,,,,,,,,,,3.57
T.Brady,TB,,4.76,23.08,13.33,4.0,12.9,,6.67,,7.69,3.7,7.41,5.88,24.14,4.76,3.23,,,,7.14,,,9.192142857142857
C.Wilson,DAL,,3.23,,,2.56,,,,,,,4.76,,,,,,,,,,,3.516666666666667
E.Penny,NYG,,7.14,7.14,,4.0,16.67,29.03,,16.13,,,,,7.41,,3.7,,,,,,,11.4025
J.Taylor,NE,,8.33,5.88,12.5,,,28.12,,,17.65,,,,,,,,,,,,,14.495999999999999
P.Ricard,BAL,,2.44,,,,,,,,,2.94,,,,,,,,,,,,2.69
D.Carter,WAS,,4.55,,,3.03,,3.45,,,2.86,2.5,2.27,,,4.76,5.0,4.55,2.7,,,,,3.567
H.Ruggs,LV,,4.0,2.86,,,,3.45,,,,,,,,,,,,,,,,3.436666666666666
R.Gilliam,BUF,,6.67,,2.5,,,,,,,,,,,,,,,,,,,4.585
K.Juszczyk,SF,,2.63,23.81,,3.57,,,,,,,,,,3.12,,,,,6.9,5.0,,7.504999999999999
D.Harris,NO,,5.88,,,,,,3.12,,4.76,,,3.85,,,,,2.17,,,,,3.9560000000000004
B.Snell,PIT,,14.29,,6.25,14.29,,,,6.25,3.23,11.11,13.33,8.0,4.17,,20.0,3.23,40.0,10.0,,,,11.857692307692307
D.Mills,HOU,,7.14,5.88,5.56,4.17,6.9,,6.67,,,,,10.53,8.0,3.85,2.78,3.7,19.05,,,,,7.019166666666667
T.Cannon,SF,,2.63,,,,,,,,,,,,,,,,,,,,,2.63
M.Trubisky,BUF,,6.67,12.12,10.0,,,,,,,,,,,,,,9.09,10.34,,,,9.644
B.Gabbert,TB,,14.29,,,12.0,,,,,,7.41,,,,,,,5.0,,,,,9.675
J.Love,GB,,9.68,,,,,,,20.0,,5.26,,,,,,6.25,7.14,,,,,9.666
C.Kupp,LA,,3.45,,,,,,,,,,,,,3.45,3.03,,3.7,,,3.45,4.35,3.5716666666666668
S.Shepard,NYG,,3.57,,,,,,,,,,,,,,,,,,,,,3.57
Jos.Allen,BUF,,,12.12,,,,,,,,,,,,,,,,,,,,12.12
T.Tremble,CAR,,,3.03,,,4.35,,,,,,,,,,,,3.85,,,,,3.7433333333333327
C.Godwin,TB,,,7.69,,,,,6.67,,,3.7,3.7,5.88,,,,,,,,,,5.528
M.Jones,NE,,,35.29,12.5,3.33,7.41,9.38,10.26,5.13,,20.0,8.33,10.64,,5.26,22.22,5.41,11.11,10.0,,,,11.751333333333331
R.Freeman,CAR,,,15.15,12.5,10.0,4.35,17.65,12.77,,,,,,,,,,,,,,,12.07
O.Beckham,CLE,,,2.38,2.63,,,,,,,,,,,,,,,,,,,2.505
G.Kittle,SF,,,4.76,,,,,,,,,,4.0,,,,2.7,,,,,,3.8200000000000003
D.Johnson,CLE,,,4.76,,,5.26,66.67,17.39,34.78,95.0,13.89,,,13.79,4.17,16.0,25.0,60.98,,,,,29.8075
B.Aiyuk,SF,,,4.76,,,,4.17,,9.09,,,2.56,,4.35,,,,,,,,,4.986
D.Crockett,DEN,,,8.11,,,,,,,,,,,,,,,,,,,,8.11
C.Sims,WAS,,,4.0,,,,,,,,,,,,,,,,,,,,4.0
J.Funk,LA,,,4.17,,,,,,,,,,,,,3.03,,,5.26,,,,4.153333333333333
A.Armah,NO,,,2.63,2.56,,,3.23,,7.69,,,,,,,,,,,,,,4.0275
B.Cooks,HOU,,,5.88,,,,,,,,,,5.26,,,,,,,,,,5.57
M.Pittman,IND,,,5.56,,,3.85,,,,,,,4.17,,,3.03,,,,,,,4.1525
G.Brightwell,NYG,,,3.57,,,,,,,,,,,,,,,,,,,,3.57
A.Brown,TEN,,,2.63,,,,,,,3.45,,,,,,,,,,,,,3.04
R.Moore,ARI,,,3.33,5.0,11.11,8.11,,10.0,,5.0,,,8.57,9.09,4.76,,,,,,,,7.2188888888888885
C.Ham,MIN,,,5.88,4.35,3.57,2.7,,4.17,,,3.33,,,,,,,,,,,,4.0
M.Hardman,KC,,,3.33,6.25,,3.57,,,,4.0,,,,3.33,5.0,,,3.33,9.09,7.41,8.33,,5.363999999999999
A.Ingold,LV,,,2.86,,,,3.45,,,,,,,,,,,,,,,,3.1550000000000002
C.Clement,DAL,,,7.32,,,,,,,15.79,,,,36.11,,14.29,,21.88,,,,,19.077999999999996
C.Keenum,CLE,,,7.14,,,,12.12,,,,,,,,,,,12.2,,,,,10.486666666666666
D.Brown,WAS,,,4.0,,,,,,,,,,,,,,,,,,,,4.0
A.Dulin,IND,,,5.56,,,,,,,,,,,,5.13,,,,,,,,5.345
W.Gallman,ATL,,,,21.43,3.45,,4.55,,,62.5,6.25,13.79,,,,,,,,,,,18.661666666666665
B.Berrios,NYJ,,,,8.0,,,,,,,,,,,8.33,2.78,7.69,,,,,,6.7
J.Patrick,SF,,,,6.67,,,,,,,,,,,,,,,,,,,6.67
J.Reagor,PHI,,,,5.26,,,3.12,4.35,,2.56,,,2.44,,,,2.94,9.09,,,,,4.251428571428572
L.Bell,BAL,,,,13.33,,21.05,20.83,,24.44,13.04,,,,,,,,,,,,,18.538
J.Agnew,JAX,,,,3.33,3.23,,,,3.7,12.5,6.25,,,,,,,,,,,,5.8020000000000005
K.Osborn,MIN,,,,4.35,,,,,,,,,,,,,,,,,,,4.35
D.Mooney,CHI,,,,2.56,,,,,3.85,,,3.45,,,3.57,6.67,,,,,,,4.0200000000000005
E.Sanders,BUF,,,,2.5,,,,,,4.17,,,,,,,,,,,,,3.335
T.Montgomery,NO,,,,5.13,,,3.23,,,4.76,,24.0,15.38,,,,3.57,,,,,,9.345
K.Herbert,CHI,,,,7.69,48.65,73.08,62.07,63.89,15.38,,5.0,13.79,14.81,4.35,,6.67,7.41,16.0,,,,,26.060769230769235
T.Homer,SEA,,,,3.57,4.0,7.41,3.57,16.0,,6.25,5.26,,11.11,,,,14.63,3.33,,,,,7.513
D.Washington,NO,,,,2.56,,,,,,9.52,4.55,,,,,,,,,,,,5.543333333333333
N.Agholor,NE,,,,12.5,,3.7,,,,,,,2.13,,,,,,,,,,6.109999999999999
