Date,Team,Acquired,Relinquished,Notes
1971-10-29,Cardinals,,• Paul White (b. 1948-09-17),placed on IR
1971-10-29,Rams,,• Don Parish,placed on IR
1971-11-05,Redskins,• Sonny Jurgensen,,activated from IR
1971-11-15,Cowboys,• Don Talbert,,activated
1971-11-19,Broncos,,• Don Horn,placed on IR
1971-11-19,Eagles,• Tom Dempsey,,activated from taxi squad
1971-12-08,Saints,,• Al Dodd,placed on IR
1971-12-10,Cowboys,• Jethro Pugh,,activated
1971-12-11,Steelers,,• Mike Wagner,placed on reserve list
1971-12-11,Steelers,,• Sam Davis,placed on reserve list
1972-07-25,Giants,,• James Evans (a) / Jim Evans,placed on IR
1972-08-08,Cardinals,,• Bill Atessis,placed on IR
1972-08-08,Cardinals,,• Jeff Allen (b. 1948-08-27),placed on IR
1972-08-08,Cardinals,,• Jim Hargrove,placed on IR
1972-08-08,Cardinals,,• Jim Hart,placed on IR
1972-08-08,Cardinals,,• Jim McFarland,placed on IR
1972-08-08,Cardinals,,• Larry Stengal,placed on IR
1972-08-08,Eagles,,• Adrian Young,placed on IR
1972-08-08,Eagles,,• Albert Davis / Al Davis / Sonny Davis,placed on IR
1972-08-08,Eagles,,• Bobby Majors,placed on IR
1972-08-16,Jets,,• Bill Zapalac,placed on IR
1972-08-16,Jets,,• Ralph Baker,placed on IR
1972-08-17,Patriots,• John Huard,,"""activated"""
1972-08-22,Packers,,• Mike McCoy (Patrick),placed on IR
1972-08-23,Redskins,• George Starke,,"""activated"""
1972-08-23,Redskins,• Jeff Jordan,,"""activated"""
1972-08-23,Redskins,• Jimmie Jones,,"""activated"""
1972-08-23,Redskins,• Rocky Rosema,,"""activated"""
1972-08-29,Bengals,,• Greg Cook,placed on unable to perform list
1972-08-30,Chargers,,• Melvin Rogers / Mel Rogers,placed on IR
1972-08-30,Giants,,• Ed Richardson / Eddie Richardson,placed on IR
1972-08-30,Giants,,• Fred Summers / Freddie Summers,placed on IR
1972-08-30,Giants,,• Steve Alexakos,placed on IR
1972-08-30,Jets,,• Richard Ciemny / Richard Clemny,placed on IR
1972-08-30,Steelers,,• John Brown (Calvin),placed on IR
1972-09-05,Bengals,,• Sandy Durko,placed on IR
1972-09-05,Bengals,,• Tom DeLeone,placed on All-Star injured list
1972-09-06,Bills,,• Irv Goode,placed on IR
1972-09-06,Browns,,• Joe Jones,placed on IR
1972-09-06,Browns,,• Lester Sims,placed on IR
1972-09-07,Chargers,,• Harrison Jones,placed on IR
1972-09-07,Colts,,• Charles Smith / Bubba Smith,waived-injured
1972-09-07,Redskins,,• Jeff Jordan,placed on IR
1972-09-08,Colts,,• Charles Smith / Bubba Smith,placed on IR with knee injury
1972-09-11,Packers,,• Larry Krause,placed on IR
1972-09-13,Falcons,,• Harmon Wages,placed on IR
1972-09-13,Saints,,• Al Dodd,placed on IR with knee injury
1972-09-13,Saints,,• Carlos Bell,placed on IR
1972-09-13,Saints,,• D'Artagnan Martin,placed on IR
1972-09-13,Saints,,• James Ford / Jim Ford (b) / Jamie Ford,placed on IR
1972-09-13,Saints,,• Tom Harrington,placed on IR
1972-09-14,Broncos,,• Bill Phillips,placed on IR
1972-09-14,Cardinals,,• Craig Baynham,placed on IR
1972-09-14,Cardinals,,• Rocky Wallace,placed on IR
1972-09-14,Chiefs,,• Andy Hamilton,placed on IR (date approximate)
1972-09-14,Chiefs,,• Ted Washington Sr. (Bernard),placed on IR (date approximate)
1972-09-14,Chiefs,,• Tim McLane,placed on IR
1972-09-15,Dolphins,,• Wendell Tucker,placed on IR
1972-10-01,Packers,,• Frank Patrick (b),placed on IR
1972-10-01,Packers,,• Rich McGeorge,placed on IR
1972-10-01,Packers,• Mike McCoy (Patrick),,activated from IR
1972-10-22,Colts,,• Tom Matte,deactivated with bleeding ulcers
1972-10-25,Cardinals,,• Dave Bradley,placed on IR
1972-10-25,Cardinals,• Craig Baynham,,activated from IR
1972-10-25,Redskins,,• Bill Malinchak,placed on IR
1972-10-25,Redskins,,• Richie Petitbon,placed on IR
1972-10-25,Saints,• James Ford / Jim Ford (b) / Jamie Ford,,"""activated"" (from IR?)"
1972-11-03,Rams,• Lawrence McCutcheon,,"""activated"""
1972-12-05,Dolphins,,• Doug Crusan,placed on IR
1972-12-05,Dolphins,,• Jim Kiick,placed on IR
1972-12-05,Dolphins,,• Larry Little,placed on IR
1972-12-08,Dolphins,• Bob Griese,,"""reactivated"""
1972-12-08,Lions,,• Larry Woods,placed on IR
1972-12-08,Lions,,• Steve Owens,placed on IR
1972-12-09,Colts,• Tom Matte,,reactivated
1972-12-21,Steelers,,• Frank Lewis,placed on IR
1973-07-19,Oilers,,• Billy Parks,placed on reserve list
1973-07-26,Cowboys,,• Jethro Pugh,placed on IR with neck injury
1973-08-02,Lions,,• Jim Yarbrough,placed on IR recovering from surgery on knee
1973-08-07,Chiefs,,• Jim Marsalis,deactivated
1973-08-07,Chiefs,,• Maurice Moorman / Mo Moorman,deactivated
1973-08-07,Chiefs,,• Otis Taylor,deactivated
1973-08-07,Jets,,• Mike Dempsey,placed on IR recovering from surgery on knee
1973-08-07,Patriots,,• Wayne Patrick,placed on IR
1973-08-07,Patriots,,• Willie Banks,placed on IR with fractured right leg
1973-08-08,Chiefs,,• Henry Sovio / Henry Savio / Henry Sovis,deactivated
1973-08-08,Falcons,,• Sandy Cannon,deactivated
1973-08-22,Cardinals,• Willie Jones / Willie Lee Jones,,"""restored to active list"""
1973-08-27,Dolphins,,• Chuck Bradley (John),placed on IR
1973-08-27,Dolphins,,• Ed Jenkins / Eddie Jenkins,placed on IR
1973-08-28,Steelers,,• Stahle Vincent,placed on IR
1973-08-29,Cardinals,,• Kenneth Garrett / Ken Garrett,placed on IR with fractured right foot
1973-08-29,Cardinals,,• Leon Burns,placed on IR
1973-08-29,Cardinals,,• Ron Yankowski,placed on IR
1973-08-29,Cardinals,• Fred Sturt,,activated from IR
1973-08-29,Colts,,• Bruce Laird,placed on inactive list
1973-08-29,Cowboys,,• Mike Keller,placed on IR
1973-08-29,Cowboys,,• Walt Garrison,placed on IR
1973-08-30,Redskins,,• Charles Cantrell,placed on IR
1973-08-30,Redskins,,• Fred Miller (a)?,placed on preseason deactivated list
1973-08-30,Redskins,,• Jerry Smith (c),placed on preseason deactivated list
