Date,Team,Acquired,Relinquished,Notes
2017-11-21,Redskins,,• Spencer Long,placed on IR with knee/quadriceps injury
2017-11-21,Redskins,,• Terrelle Pryor,placed on IR with ankle injury (surgery)
2017-11-21,Saints,,• Alex Okafor,placed on IR with torn Achilles tendon
2017-11-21,Steelers,• Cameron Sutton / Cam Sutton,,activated from IR
2017-11-22,Texans,,• D'Onta Foreman,placed on IR with ruptured left Achilles tendon
2017-11-22,Giants,,• Kevin Norwood,placed on IR with hip injury
2017-11-22,Giants,• Kevin Norwood,,activated from IR
2017-11-23,Bears,,• Leonard Floyd (Cornilus),placed on IR with right knee injury
2017-11-24,49ers,• Cornellius Carradine / Tank Carradine,,activated from IR
2017-11-24,Panthers,,• Curtis Samuel,placed on IR with fractured left ankle
2017-11-24,Panthers,• Greg Olsen,,activated from IR
2017-11-25,Titans,• Harry Douglas,,activated from IR
2017-11-27,Giants,,• Curtis Grant,placed on IR with knee injury
2017-11-27,Giants,,• D.J. Fluker,placed on IR with toe injury
2017-11-27,Giants,,• Deontae Skinner,placed on IR with hamstring injury
2017-11-27,Giants,,• Donte' Deayon / Dont'e Deayon / Donte Deayon,placed on IR with forearm injury
2017-11-27,Lions,,• Tavon Wilson,placed on IR with shoulder injury
2017-11-27,Patriots,,• Martellus Bennett,"placed on IR with hamstring, shoulder injury"
2017-11-27,Patriots,,• Nate Ebner,placed on IR with knee / shoulder injury
2017-11-28,Dolphins,,• William Hayes (b),placed on IR with back injury
2017-11-28,Broncos,• A.J. Derby,,activated from IR
2017-11-28,Giants,• J.T. Thomas III,,activated from IR
2017-11-29,49ers,,• Erik Magnuson,placed on IR with foot injury
2017-11-29,49ers,,• Raheem Mostert,placed on IR with knee injury / shoulder injury
2017-11-29,Buccaneers,,• Ali Marpet,placed on IR with knee injury
2017-11-29,Buccaneers,,• Demar Dotson,placed on IR with knee injury
2017-11-29,Giants,,• Janoris Jenkins,placed on IR with ankle injury
2017-11-29,Texans,,• Ben Heeney,placed on IR with hamstring injury
2017-11-29,Texans,,• Chris Clark,placed on IR with ankle injury
2017-11-30,Cardinals,,• Anthony Denham,placed on practice squad IR with undisclosed injury
2017-12-01,Eagles,,• Harold Jones-Quartey,placed on practice squad IR with undisclosed injury
2017-12-01,Jets,,• Claude Pelon,placed on practice squad IR with undisclosed injury
2017-12-01,Packers,,• Ty Montgomery,placed on IR with wrist injury / ribs injury
2017-12-01,Panthers,• Damiere Byrd,,activated from IR
2017-12-02,Bears,,• Isaiah Irving,placed on IR with knee injury
2017-12-02,Bears,• Deiondre' Hall,,activated from IR
2017-12-02,Chargers,,• Nick Novak,placed on IR with back injury
2017-12-02,Dolphins,,• Maurice Smith (Bernard),placed on reserve/non-football injury list with appendicitis
2017-12-02,Panthers,,• John Theus,placed on IR with illness
2017-12-02,Saints,,• Coby Fleener,placed on IR with concussion
2017-12-02,Seahawks,,• Josh Forrest,placed on IR with foot injury
2017-12-04,Bears,,• Cairo Santos,placed on IR with groin/hamstring injury
2017-12-04,Colts,,• Pierre Desir,placed on IR with torn pectoral muscle
2017-12-04,Texans,,• Brennan Scarlett,placed on IR with foot injury
2017-12-04,Titans,,• DaQuan Jones,placed on IR with biceps injury
2017-12-05,Bears,,• Kyle Long,placed on IR with shoulder injury
2017-12-05,Bears,,• Mitch Unrein,placed on IR with knee injury
2017-12-05,Bills,,• Jordan Matthews,placed on IR with knee injury
2017-12-05,Bills,,• Shaq Lawson,placed on IR with ankle injury
2017-12-05,Broncos,,• Derek Wolfe,placed on IR with neck injury
2017-12-05,Colts,,• John Simon (b. 1990-10-14),placed on IR with shoulder injury
2017-12-05,Panthers,,• Jared Norris,placed on IR with calf injury
2017-12-05,Ravens,,• Jimmy Smith (b),placed on IR with torn left Achilles tendon
2017-12-05,Texans,,• Bruce Ellington,placed on IR with hamstring injury
2017-12-05,Texans,,• C.J. Fiedorowicz,placed on IR with concussion
2017-12-06,Bengals,,• John Ross III,placed on IR with shoulder injury
2017-12-06,Giants,,• Jonathan Casillas,"placed on IR with neck, wrist injuries"
2017-12-06,Packers,,• Kevin King,placed on IR with shoulder injury
2017-12-06,Packers,• Demetri Goodson,,activated from physically unable to perform list
2017-12-07,Cardinals,,• Johnathan Ford / Rudy Ford,placed on IR with knee injury
2017-12-07,Chiefs,,• Dee Ford,placed on IR with back injury
2017-12-08,Jets,,• Tre McBride III,placed on practice squad IR with undisclosed injury
2017-12-08,Jets,• Jeremy Clark (b. 1994-06-29),,activated from reserve/non-football injury list
2017-12-09,Bengals,,• Adam Jones / Pacman Jones,placed on IR with groin injury
2017-12-09,Lions,• Joe Dahl,,activated from IR
2017-12-11,Chiefs,,• Steven Terrell,placed on IR with undisclosed
2017-12-11,Giants,,• Darius Powe,placed on IR with fractured right foot
2017-12-12,Broncos,,• Ronald Leary / Ron Leary,placed on IR with back injury
2017-12-12,Cardinals,,• Jared Veldheer,placed on IR with ankle injury
2017-12-12,Chargers,,• Andre Williams,placed on IR with wrist injury
2017-12-12,Eagles,,• Carson Wentz,placed on IR with torn ACL in left knee
2017-12-12,Rams,,• Kayvon Webster,placed on IR with Achilles / ankle injury
2017-12-12,Redskins,,• Byron Marshall,placed on IR with hamstring injury
2017-12-12,Redskins,,• Chris Carter (d),placed on IR with fractured fibula in right leg
2017-12-12,Redskins,,• Jordan Reed,placed on IR with hamstring injury
2017-12-12,Steelers,,• Ryan Shazier,placed on IR with spinal injury
2017-12-12,Seahawks,• Justin Senior,,activated from IR
2017-12-13,49ers,,• Victor Bolden Jr.,placed on IR with ankle injury
2017-12-13,Broncos,,• Justin Simmons,placed on IR with ankle injury
2017-12-13,Jets,,• Josh McCown,placed on IR with fractured left hand
2017-12-13,Patriots,,• Marcus Cannon,placed on IR with ankle injury
2017-12-13,Raiders,,• Cory James,placed on IR with knee injury
2017-12-13,Seahawks,,• Oday Aboushi,placed on IR with shoulder injury
2017-12-14,Cardinals,,• Adrian Peterson (Lewis),placed on IR with neck injury
2017-12-14,Giants,,• Justin Pugh,placed on IR with back injury
2017-12-15,49ers,,• Trent Brown,placed on IR with shoulder injury
2017-12-15,Bengals,,• Kevin Minter,placed on IR with hamstring injury
2017-12-15,Bills,,• Cordy Glenn,placed on IR with foot injury
2017-12-15,Broncos,,• Trevor Siemian,placed on IR with left shoulder injury
2017-12-15,Cardinals,• Aaron Brewer,,activated from IR
2017-12-15,Chiefs,,• Mitch Morse,placed on IR with foot injury
2017-12-15,Raiders,,• Obi Melifonwu,placed on IR with surgery on hip
2017-12-15,Raiders,• Antonio Hamilton,,activated from IR
2017-12-15,Vikings,,• Blake Bell,placed on IR with shoulder injury
2017-12-15,Buccaneers,• Evan Panfil,,activated from IR
2017-12-16,Bengals,,• T.J. Johnson,placed on IR with pectoral muscle injury
2017-12-16,Packers,• Aaron Rodgers,,activated from IR
2017-12-16,Redskins,• Dustin Hopkins,,activated from IR
2017-12-16,Seahawks,,• Kam Chancellor,placed on IR with neck injury
2017-12-18,Colts,,• Jonathan Bostic / Jon Bostic (b),placed on IR with right knee injury
2017-12-18,Colts,,• Ryan Kelly,placed on IR with concussion
2017-12-19,Broncos,,• Shane Ray,placed on IR with left wrist injury
2017-12-19,Browns,,• Derrick Kindred,placed on IR with wrist injury
2017-12-19,Cardinals,,• Brittan Golden,placed on IR with fractured arm
2017-12-19,Chargers,,• Hunter Henry,placed on IR with lacerated kidney
2017-12-19,Giants,• Romeo Okwara,,activated from IR
2017-12-19,Lions,,• T.J. Jones,placed on IR with shoulder injury
2017-12-19,Packers,,• Aaron Rodgers,placed on IR recovering from fractured right collarbone
2017-12-19,Redskins,,• Montae Nicholson,placed on IR with concussion
2017-12-19,Saints,,• A.J. Klein,placed on IR with groin injury
2017-12-19,Steelers,,• James Conner,placed on IR with knee injury
2017-12-19,Texans,,• D.J. Reader,placed on IR with knee injury
2017-12-19,Texans,,• MyCole Pruitt,placed on IR with calf injury
2017-12-19,Texans,,• Nick Martin (Jacob),placed on IR with ankle injury
2017-12-19,Jets,• Edmond Robinson,,activated from IR
2017-12-20,Bears,,• Pernell McPhee,placed on IR with shoulder injury
2017-12-20,Bengals,,• Andre Smith (Dewayne),placed on IR with knee injury
2017-12-20,Buccaneers,,• Adarius Glanton,placed on IR with fractured lower leg
2017-12-20,Buccaneers,,• J.R. Sweezy,placed on IR with lower leg injury
2017-12-20,Buccaneers,,• Justin Evans (b. 1995-08-26),placed on IR with ankle injury
2017-12-20,Buccaneers,,• O.J. Howard,placed on IR with right ankle injury
2017-12-20,Buccaneers,,• Vernon Hargreaves III,placed on IR with hamstring injury
2017-12-20,Dolphins,,• Jermon Bushrod,placed on IR with foot injury
2017-12-20,Dolphins,,• Julius Thomas,placed on IR with foot injury
2017-12-20,Dolphins,• Eric Smith (Maurice),,activated from IR
2017-12-20,Rams,,• Brandon Allen,placed on IR with back injury
2017-12-21,Rams,,• Greg Zuerlein,placed on IR with herniated disc in back
2017-12-21,Saints,,• Kenny Vaccaro,placed on IR with groin injury
2017-12-22,Bengals,,• Nick Vigil,placed on IR with back injury
2017-12-22,Cardinals,,• Carlton Agudosi,placed on practice squad IR with hamstring injury
2017-12-22,Colts,,• Brandon Williams (Darnell),placed on IR with concussion
2017-12-22,Packers,,• Demetri Goodson,placed on IR with hamstring injury
2017-12-22,Raiders,,• Donald Penn,placed on IR with right foot injury
2017-12-22,Raiders,,• Jon Feliciano,placed on IR with concussion
2017-12-22,Redskins,,• Trent Williams,placed on IR with knee injury
2017-12-22,Titans,,• Leshaun Sims,placed on IR with hamstring injury
2017-12-23,Bears,,• Chris Prosinski,placed on IR with concussion
2017-12-23,Raiders,,• Clive Walford,placed on IR with concussion
2017-12-23,Redskins,,• LeShun Daniels Jr.,placed on IR with fractured hand
2017-12-23,Seahawks,• Deshawn Shead,,activated from reserve/physically unable to perform list
2017-12-23,Texans,,• Tom Savage,placed on IR with concussion
2017-12-23,49ers,• Prince Charles Iworah,,activated from IR
2017-12-23,Jaguars,,• Larry Pinkard,placed on IR with concussion
2017-12-26,Bills,,• Andre Holmes,placed on IR with neck injury
2017-12-26,Bills,,• Travaris Cadet,placed on IR with dislocated ankle
2017-12-26,Browns,,• Kasen Williams,placed on practice squad IR with knee injury
2017-12-26,Cardinals,,• Antoine Bethea,placed on IR with pectoral muscle injury
2017-12-26,Giants,,• Landon Collins,placed on IR with fractured right forearm
2017-12-26,Jaguars,,• Jaelen Strong,placed on IR with torn ACL in left knee
2017-12-26,Lions,,• Don Barclay,placed on IR with concussion
2017-12-26,Packers,,• Jason Spriggs,placed on IR with left knee injury
2017-12-26,Panthers,,• Damiere Byrd,placed on IR with leg injury
2017-12-26,Ravens,,• Jaylen Hill,"placed on IR with torn ACL, MCL in knee"
2017-12-26,Vikings,,• Nick Easton,placed on IR with fractured right ankle
2017-12-26,Colts,• Quan Bray,,activated from IR
2017-12-27,Colts,,• Rashaan Melvin,placed on IR with hand injury
2017-12-27,Giants,,• B.J. Goodson,placed on IR with ankle injury
2017-12-27,Jets,,• Brian Winters,placed on IR with abdominal injury
2017-12-27,Rams,,• Marqui Christian,placed on IR with shoulder injury
2017-12-27,Saints,,• John Hughes III,placed on IR with elbow injury
2017-12-27,Texans,,• Corey Moore (b. 1993-01-28),placed on IR with sprained MCL in knee
2017-12-28,Bills,• Colt Anderson,,activated from IR
2017-12-28,Dolphins,,• Leonte Carroo,placed on reserve/non-football injury list with undisclosed injury
2017-12-28,Dolphins,,• Vincent Taylor,placed on IR / reserve/non football injury with knee injury
2017-12-28,Saints,,• Hau'oli Kikaha,placed on IR with ankle injury
2017-12-28,Bears,• Chris Prosinski,,activated from IR
2017-12-29,Cowboys,,• Orlando Scandrick,placed on IR with back injury
2017-12-29,Cowboys,,• Tyron Smith,placed on IR with right knee injury
2017-12-29,Dolphins,,• Michael Thomas (b. 1990-03-17),placed on IR with knee injury
2017-12-29,Eagles,,• Joe Walker (b. 1992-12-11),placed on IR with neck injury
2017-12-29,Lions,,• Travis Swanson,placed on IR with concussion
2017-12-29,Rams,,• Matt Longacre,placed on IR with back injury
2017-12-29,Rams,• Cody Davis,,activated from IR
2017-12-30,Eagles,• Sidney Jones IV,,activated from reserve/non-football injury list
2017-12-30,Giants,,• Tavarres King,placed on IR with concussion
2017-12-30,Jets,,• Akeem Judd,placed on IR with ankle injury
2017-12-30,Jets,,• Matt Forte,placed on IR with knee injury
2017-12-30,Packers,,• Nick Perry (Joel),"placed on IR with ankle, shoulder injury"
2017-12-30,Seahawks,,• Nazair Jones,placed on IR with ankle/foot injury
2017-12-30,Vikings,,• Kevin McDermott,placed on IR with shoulder injury
2018-01-02,Chiefs,,• Akeem Hunt,placed on IR with ankle injury
2018-01-02,Chiefs,,• De'Anthony Thomas,placed on IR with fractured tibia
2018-01-02,Falcons,,• Andy Levitre,placed on IR with triceps injury
2018-01-02,Panthers,,• Chris Manhertz,placed on IR with ankle injury
2018-01-02,Cardinals,• Carson Palmer,,activated from IR
2018-01-03,Chiefs,,• Phillip Gaines,placed on IR with dislocated elbow
2018-01-03,Saints,,• Garrett Griffin,placed on IR with foot injury
2018-01-09,Vikings,,• Dylan Bradley,placed on practice squad IR with undisclosed injury
2018-01-10,Saints,,• Andrus Peat,placed on IR with fractured fibula in leg
2018-01-10,Saints,,• Tony McDaniel,placed on IR with leg injury
2018-01-13,Vikings,• Sam Bradford,,activated from IR
2018-01-17,Patriots,,• Jonathan Jones,placed on IR with ankle injury
2018-02-04,Colts,• Edwin Jackson,,activated from IR
2018-02-05,49ers,• Aaron Burbridge,,activated from IR
2018-02-05,49ers,• Arik Armstead,,activated from IR
2018-02-05,49ers,• Asa Jackson,,activated from IR
2018-02-05,49ers,• Chanceller James,,activated from IR
2018-02-05,49ers,• Chris Jones (Dwightstone),,activated from IR
2018-02-05,49ers,• Cole Hikutini,,activated from IR
2018-02-05,49ers,• Don Jones II,,activated from IR
2018-02-05,49ers,• Donavin Newsom,,activated from IR
2018-02-05,49ers,• Erik Magnuson,,activated from IR
2018-02-05,49ers,• Garry Gilliam,,activated from IR
2018-02-05,49ers,• Jaquiski Tartt,,activated from IR
2018-02-05,49ers,• Jimmie Gilbert,,activated from IR
2018-02-05,49ers,• Jimmie Ward,,activated from IR
2018-02-05,49ers,• Joe Williams (Sterling),,activated from IR
2018-02-05,49ers,• Joshua Garnett,,activated from IR
2018-02-05,49ers,• Malcolm Smith,,activated from IR
2018-02-05,49ers,• Pierre Garcon,,activated from IR
2018-02-05,49ers,• Raheem Mostert,,activated from IR
2018-02-05,49ers,• Trent Brown,,activated from IR
2018-02-05,49ers,• Victor Bolden Jr.,,activated from IR
2018-02-05,Bears,• Cairo Santos,,activated from IR
2018-02-05,Bears,• Cameron Meredith,,activated from IR
2018-02-05,Bears,• Eric Kush,,activated from IR
2018-02-05,Bears,• Isaiah Irving,,activated from IR
2018-02-05,Bears,• Jerrell Freeman,,activated from IR
2018-02-05,Bears,• Jordan Morgan,,activated from IR
2018-02-05,Bears,• Kevin White (Romone),,activated from IR
2018-02-05,Bears,• Kyle Long,,activated from IR
2018-02-05,Bears,• Leonard Floyd (Cornilus),,activated from IR
2018-02-05,Bears,• Mitch Unrein,,activated from IR
2018-02-05,Bears,• Patrick Scales,,activated from IR
2018-02-05,Bears,• Pernell McPhee,,activated from IR
2018-02-05,Bears,• Willie Young (James),,activated from IR
2018-02-05,Bears,• Zach Miller (Scott),,activated from IR
2018-02-05,Bengals,• Adam Jones / Pacman Jones,,activated from IR
2018-02-05,Bengals,• Andre Smith (Dewayne),,activated from IR
2018-02-05,Bengals,• Cedric Peerman,,activated from IR
2018-02-05,Bengals,• Jake Fisher,,activated from reserve/non-football injury list
2018-02-05,Bengals,• Jeremy Hill,,activated from IR
2018-02-05,Bengals,• John Ross III,,activated from IR
2018-02-05,Bengals,• Kevin Minter,,activated from IR
2018-02-05,Bengals,• Mason Schreck,,activated from IR
2018-02-05,Bengals,• Nick Vigil,,activated from IR
2018-02-05,Bengals,• T.J. Johnson,,activated from IR
2018-02-05,Bengals,• Tra Carson,,activated from IR
2018-02-05,Bengals,• Tyler Eifert,,activated from IR
2018-02-05,Bills,• Andre Holmes,,activated from IR
2018-02-05,Bills,• Cordy Glenn,,activated from IR
2018-02-05,Bills,• Jeremy Butler,,activated from IR
